year,state,cause_of_death,population,median_income,poverty_count,aadr,poverty_rate
2017,Vermont,Influenza and pneumonia,624636,57808,68144,9.7,0.10909393630850607
2017,Utah,Influenza and pneumonia,2993941,65325,324856,13.3,0.10850447620711297
2017,Virginia,Influenza and pneumonia,8365952,68766,906838,13.1,0.10839627098027815
2017,Washington,Influenza and pneumonia,7169967,66174,859950,12.6,0.11993779050865924
2017,West Virginia,Influenza and pneumonia,1836843,44061,317089,18.2,0.1726271651959367
2017,Wisconsin,Influenza and pneumonia,5763217,56759,692719,12.9,0.12019658465055194
2017,Wyoming,Influenza and pneumonia,583200,60938,63398,17.5,0.10870713305898491
2017,,,3468963,19775,1543220,,0.4448649351405593
2017,Delaware,Influenza and pneumonia,943732,63036,111304,14.9,0.11794026270169922
2017,District of Columbia,Influenza and pneumonia,672391,77649,111025,11.4,0.16511969969853849
2017,Connecticut,Influenza and pneumonia,3594478,73781,350783,13.1,0.09758941353932338
2017,Florida,Influenza and pneumonia,20278447,50883,3070972,9.6,0.1514401965791562
2017,Georgia,Influenza and pneumonia,10201635,52977,1679030,13.8,0.16458440240216396
2017,Idaho,Influenza and pneumonia,1657375,50985,236000,13.7,0.1423938456897202
2017,Hawaii,Influenza and pneumonia,1421658,74923,143148,29.6,0.10069088346142321
2017,Illinois,Influenza and pneumonia,12854526,61229,1698613,15.6,0.13214123959140928
2017,Indiana,Influenza and pneumonia,6614418,52182,933540,13.8,0.14113713406077452
2017,Iowa,Influenza and pneumonia,3118102,56570,361343,13.2,0.11588556115226506
2017,Kansas,Influenza and pneumonia,2903820,55477,361285,15.0,0.12441714706834446
2017,Kentucky,Influenza and pneumonia,4424376,46535,783586,18.1,0.17710655694723956
2017,Louisiana,Influenza and pneumonia,4663461,46710,887574,15.1,0.19032516836744212
2017,Maine,Influenza and pneumonia,1330158,53024,166904,15.2,0.12547682305410335
2017,Maryland,Influenza and pneumonia,5996079,78916,566966,14.0,0.09455612576151849
2017,Massachusetts,Influenza and pneumonia,6789319,74167,727546,15.9,0.1071603794136054
2017,Michigan,Influenza and pneumonia,9925568,52668,1510841,14.2,0.15221708218612778
2017,Minnesota,Influenza and pneumonia,5490726,65699,560995,9.9,0.10217137041622547
2017,Colorado,Influenza and pneumonia,5436519,65458,612143,10.1,0.11259833728163186
