year,state,cause_of_death,population,median_income,poverty_count,aadr,poverty_rate
2013,Ohio,Influenza and pneumonia,11549590,48308,1773853,16.6,0.1535857982837486
2013,Oklahoma,Influenza and pneumonia,3785742,45339,618683,18.0,0.16342450172251569
2013,Oregon,Influenza and pneumonia,3868721,50229,614778,10.4,0.15890988262012173
2013,Pennsylvania,Influenza and pneumonia,12731381,52548,1638820,16.2,0.12872287774594132
2013,Rhode Island,Influenza and pneumonia,1051695,56361,137244,12.9,0.1304979105158815
2013,South Carolina,Influenza and pneumonia,4679602,44779,820308,14.2,0.17529439469424965
2013,South Dakota,Influenza and pneumonia,825198,49495,112086,16.2,0.13582921916921756
2013,Tennessee,Influenza and pneumonia,6402387,44298,1101732,22.1,0.17208144399893352
2013,Texas,Influenza and pneumonia,25639373,51900,4416829,14.4,0.17226743415293347
2013,Vermont,Influenza and pneumonia,625904,54267,70873,9.3,0.11323301976021882
2013,Utah,Influenza and pneumonia,2813673,58821,350205,18.6,0.12446542295426655
2013,Virginia,Influenza and pneumonia,8100653,63907,887595,17.0,0.10957079632962922
2013,Washington,Influenza and pneumonia,6819579,59478,893211,10.1,0.1309774401029741
2013,West Virginia,Influenza and pneumonia,1853619,41043,321546,20.2,0.17346930518083814
2013,Wisconsin,Influenza and pneumonia,5706871,52413,723730,15.6,0.12681730496448929
2013,Wyoming,Influenza and pneumonia,570134,57406,63743,18.4,0.1118035409219587
2013,,,3682966,19624,1644128,,0.4464141129730766
2014,Alabama,Influenza and pneumonia,4817678,43511,889710,18.8,0.1846761033012169
2014,Alaska,Influenza and pneumonia,728300,71829,71866,14.1,0.09867636962790059
2014,Arizona,Influenza and pneumonia,6561516,49928,1169309,10.0,0.1782071399353442
2014,Arkansas,Influenza and pneumonia,2947036,41264,549303,20.7,0.18639168303339354
2014,California,Influenza and pneumonia,38066920,61489,6115244,14.7,0.16064457014121447
2014,Colorado,Influenza and pneumonia,5197580,59448,663861,13.3,0.12772501818153834
2014,Delaware,Influenza and pneumonia,917060,60231,107101,13.8,0.11678734215863738
2014,District of Columbia,Influenza and pneumonia,633736,69235,109378,11.5,0.17259237284926215
2014,Connecticut,Influenza and pneumonia,3592053,69899,364740,13.3,0.10154081802245123
2014,Florida,Influenza and pneumonia,19361792,47212,3159259,9.6,0.1631697623856304
2014,Georgia,Influenza and pneumonia,9907756,49342,1781388,16.2,0.1797973224209397
2014,Idaho,Influenza and pneumonia,1599464,47334,244618,11.3,0.15293748405715915
2014,Hawaii,Influenza and pneumonia,1392704,68201,153752,22.6,0.11039818942144203
2014,Illinois,Influenza and pneumonia,12868747,57166,1810470,16.8,0.14068735674110308
2014,Indiana,Influenza and pneumonia,6542411,48737,983826,14.3,0.15037667306441005
2014,Iowa,Influenza and pneumonia,3078116,52716,373867,13.7,0.12145968508009444
2014,Kansas,Influenza and pneumonia,2882946,51872,386062,18.2,0.1339123244070475
2014,Kentucky,Influenza and pneumonia,4383272,43342,803866,20.8,0.18339404901178846
2014,Louisiana,Influenza and pneumonia,4601049,44991,874638,17.5,0.19009534564835107
2014,Maine,Influenza and pneumonia,1328535,48804,179878,13.7,0.1353957554750157
2014,Maryland,Influenza and pneumonia,5887776,74149,573383,15.6,0.09738532851793275
2014,Massachusetts,Influenza and pneumonia,6657291,67846,742784,15.8,0.11157451281609893
2014,Michigan,Influenza and pneumonia,9889024,49087,1633316,15.5,0.16516452988687255
2014,Minnesota,Influenza and pneumonia,5383661,60828,605761,9.8,0.11251841451384105
2014,Mississippi,Influenza and pneumonia,2984345,39464,653726,23.5,0.21905175172441524
2014,Missouri,Influenza and pneumonia,6028076,47764,912291,18.1,0.15134032815777373
2014,Montana,Influenza and pneumonia,1006370,46766,150096,13.7,0.1491459403599074
2014,Nebraska,Influenza and pneumonia,1855617,52400,231762,15.1,0.12489754081795974
2014,Nevada,Influenza and pneumonia,2761584,52205,423578,23.8,0.15338226177440195
